Index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,objName,gPSFMag,rPSFMag,iPSFMag,zPSFMag,yPSFMag,gPSFMagErr,rPSFMagErr,iPSFMagErr,zPSFMagErr,yPSFMagErr,gKronMag,rKronMag,iKronMag,zKronMag,yKronMag,gKronMagErr,rKronMagErr,iKronMagErr,zKronMagErr,yKronMagErr,gKronRad,rKronRad,iKronRad,zKronRad,yKronRad,gexpTime,rexpTime,iexpTime,zexpTime,yexpTime,distance,Index,processing_index,original_index
0,39628039235043398,121.60879671172032,10.45708861787858,main,dark,22365,PSO J121.6088+10.4571,21.54949951171875,19.714399337768555,19.118600845336914,18.834199905395508,18.645700454711914,0.039659999310970306,0.011535000056028366,0.006804999895393848,0.010726000182330608,0.013534000143408775,21.394399642944336,19.391799926757812,18.667999267578125,18.430400848388672,18.281299591064453,0.04843800142407417,0.0158929992467165,0.009819000028073788,0.015104000456631184,0.018476000055670738,2.401669979095459,3.651060104370117,4.112289905548096,3.407860040664673,2.8518800735473633,1229.0,1722.0,1635.0,810.0,940.0,0.010032480658730988,2999,2999,2999
1,39628039268599791,123.73375986386873,10.435969859410838,main,dark,4608,PSO J123.7337+10.4359,24.236600875854492,22.7367000579834,22.09600067138672,21.462499618530273,21.089500427246094,0.405256986618042,0.14552000164985657,0.07665500044822693,0.09777099639177322,0.14785900712013245,,22.859600067138672,22.05470085144043,21.219200134277344,21.073999404907227,,0.20370100438594818,0.09860499948263168,0.1474989950656891,0.1912360042333603,,2.1639299392700195,2.137629985809326,2.6555800437927246,1.7521899938583374,1263.0,1802.0,1485.0,720.0,870.0,0.15657597790343808,3000,3000,3000
2,39628039704809081,150.20903381404256,10.446367507786382,main,bright,27559,PSO J150.2090+10.4464,20.320600509643555,19.075599670410156,18.582700729370117,18.298599243164062,18.21470069885254,0.018667999655008316,0.007050999905914068,0.0032599999103695154,0.006113000214099884,0.015203000046312809,20.285900115966797,16.593799591064453,16.232799530029297,17.35770034790039,16.876800537109375,0.03174300119280815,0.0032840000931173563,0.0019120000069960952,0.007424000184983015,0.016878999769687653,3.0044898986816406,9.154450416564941,8.92864990234375,6.014920234680176,6.418360233306885,550.0,792.0,1324.0,736.0,700.0,0.03140539685093823,3001,3001,3001
3,39628039910326773,162.50530791292192,10.509328978830856,main,bright,27506,PSO J162.5053+10.5093,21.374500274658203,19.989599227905273,19.381900787353516,19.08370018005371,18.979900360107422,0.036667000502347946,0.009611999616026878,0.009940000250935555,0.011706000193953514,0.024445999413728714,21.190799713134766,19.764699935913086,19.132699966430664,18.916500091552734,18.858299255371094,0.04734199866652489,0.013075999915599823,0.014913000166416168,0.018019000068306923,0.03613299876451492,2.741770029067993,2.76596999168396,3.1807401180267334,2.806410074234009,2.325500011444092,724.0,864.0,1298.0,870.0,730.0,0.006455613837366951,3002,3002,3002
4,39628040648526807,207.32968340789387,10.606909913066238,main,dark,26482,PSO J207.3297+10.6069,22.381099700927734,20.69499969482422,19.948200225830078,19.576900482177734,19.403200149536133,0.10429900139570236,0.022526999935507774,0.010842000134289265,0.015727000311017036,0.03210299834609032,22.65220069885254,20.450300216674805,19.600000381469727,19.274900436401367,19.054399490356445,0.17043499648571014,0.02947000041604042,0.016265999525785446,0.020757999271154404,0.04127899929881096,2.228369951248169,2.9513700008392334,3.0070700645446777,2.9556100368499756,2.6891798973083496,645.0,944.0,1080.0,840.0,860.0,0.02168827082080426,3003,3003,3003
5,39628040866630710,220.5158899553781,10.53712936571612,main,bright,8347,PSO J220.5159+10.5371,21.516199111938477,20.100299835205078,19.430099487304688,19.162500381469727,18.94809913635254,0.03172900155186653,0.010533999651670456,0.006765000056475401,0.010360999964177608,0.020718000829219818,21.3257999420166,19.653200149536133,,,18.431800842285156,0.03884400054812431,0.01297799963504076,,,0.02609200030565262,2.3334600925445557,2.920300006866455,,,3.0340099334716797,792.0,712.0,1054.0,600.0,740.0,0.013161306214360798,3004,3004,3004
6,39628041093120259,234.08568215461105,10.53082392485988,main,bright,8285,PSO J234.0857+10.5308,21.988300323486328,20.35449981689453,19.597900390625,19.357500076293945,19.105600357055664,0.04300399869680405,0.012883000075817108,0.008839000016450882,0.010091000236570835,0.01881900057196617,21.7189998626709,19.99090003967285,19.269500732421875,18.797500610351562,18.71619987487793,0.05323699861764908,0.017201999202370644,0.0121069997549057,0.01363999955356121,0.025182999670505524,2.5725700855255127,3.106909990310669,3.202620029449463,3.224529981613159,2.7755799293518066,1136.0,1072.0,1755.0,780.0,920.0,0.03791844513957798,3005,3005,3005
7,39628041093120259,234.08568215461105,10.53082392485988,main,dark,8285,PSO J234.0857+10.5308,21.988300323486328,20.35449981689453,19.597900390625,19.357500076293945,19.105600357055664,0.04300399869680405,0.012883000075817108,0.008839000016450882,0.010091000236570835,0.01881900057196617,21.7189998626709,19.99090003967285,19.269500732421875,18.797500610351562,18.71619987487793,0.05323699861764908,0.017201999202370644,0.0121069997549057,0.01363999955356121,0.025182999670505524,2.5725700855255127,3.106909990310669,3.202620029449463,3.224529981613159,2.7755799293518066,1136.0,1072.0,1755.0,780.0,920.0,0.03791844513957798,3006,3006,3006
8,39628041223145167,242.02563562663155,10.582654875385025,main,dark,31664,PSO J242.0256+10.5827,21.29520034790039,19.77750015258789,19.16830062866211,18.850099563598633,18.638999938964844,0.028690999373793602,0.007280000019818544,0.0050130002200603485,0.007462000008672476,0.015104999765753746,20.964500427246094,19.337900161743164,18.679500579833984,18.356700897216797,18.111499786376953,0.03622699901461601,0.00952600035816431,0.0068789999932050705,0.01064900029450655,0.020524999126791954,2.860960006713867,3.467629909515381,3.7025299072265625,3.446589946746826,3.13250994682312,774.0,1076.0,1755.0,720.0,780.0,0.011128375670066953,3007,3007,3007
9,39628041244118003,243.34973835182063,10.572342352574555,main,bright,31643,PSO J243.3497+10.5724,18.672399520874023,17.724199295043945,17.397300720214844,17.1117000579834,17.086000442504883,0.005090999882668257,0.001976999919861555,0.001711999997496605,0.0026829999405890703,0.005293000023812056,16.946199417114258,16.069799423217773,15.672300338745117,15.475199699401855,15.223799705505371,0.003880999982357025,0.0016710000345483422,0.0017109999898821115,0.0032770000398159027,0.00546000013127923,9.16646957397461,11.761099815368652,13.145299911499023,10.530900001525879,9.98705005645752,688.0,1432.0,1710.0,660.0,730.0,0.07854022925445103,3008,3008,3008
